"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region"
1,0.442670226861576,0.0341835580902695,0.374006323014923,0.509448173253465,1.00163857103541,2100,2003,"MM.p.uw","Africa"
2,0.464961519534077,0.0314000043612084,0.401653548670387,0.525475707930532,1.0009416963775,4500,2004,"MM.p.uw","Africa"
3,0.423714981375653,0.0345171671776578,0.35625154128628,0.491609662708504,1.00111128325708,4500,2005,"MM.p.uw","Africa"
4,0.457792542041254,0.0378506512999124,0.385106206216129,0.532606496467337,1.00165014669686,2000,2006,"MM.p.uw","Africa"
5,0.466427255694282,0.0360089708123935,0.399411881844663,0.53798610168123,1.00105568119447,4500,2007,"MM.p.uw","Africa"
6,0.555838222192787,0.0312817675066916,0.493441399111104,0.616062809460522,1.00116656321902,4100,2008,"MM.p.uw","Africa"
7,0.540812002452555,0.0295575313902729,0.48315276687384,0.600119075500456,1.00303012549169,850,2009,"MM.p.uw","Africa"
8,0.533042532130519,0.0296019193806711,0.475584953963404,0.590535647470242,1.0024386568471,1100,2010,"MM.p.uw","Africa"
9,0.690264619027874,0.0240138456457727,0.64134251570853,0.735833739795706,1.00075153208197,4500,2011,"MM.p.uw","Africa"
10,0.659649142090013,0.0238396885064353,0.611793665171377,0.705576019997624,1.00311427996907,820,2012,"MM.p.uw","Africa"
11,0.612643422680912,0.0255629376653569,0.56252803873874,0.6619639688977,1.00275678263376,960,2013,"MM.p.uw","Africa"
12,0.64991379265675,0.0252360001050573,0.599145482445076,0.698118300212473,1.00148947920805,2400,2014,"MM.p.uw","Africa"
13,0.642458659371726,0.0251941990987197,0.591807673168456,0.690734685422202,1.00391030158048,620,2015,"MM.p.uw","Africa"
14,0.626437296548981,0.026636154992386,0.572726814331961,0.675918313563174,1.00491169994298,470,2016,"MM.p.uw","Africa"
15,0.574786979396311,0.0273751713144169,0.519196199836304,0.62689356809272,1.00115193873444,4100,2017,"MM.p.uw","Africa"
16,0.541138898179128,0.0241772449112915,0.494009662126142,0.58922518927726,1.00306041208925,840,2018,"MM.p.uw","Africa"
17,0.428154423913871,0.0265179798525291,0.377009207896591,0.479613611596671,1.00200430072802,1500,2019,"MM.p.uw","Africa"
18,0.360609156973068,0.0285532750186284,0.306631125315924,0.41760227140448,1.00169994658469,1900,2020,"MM.p.uw","Africa"
19,0.40133564177513,0.0302739610146677,0.340726184970481,0.458797772736417,1.00096665226558,4500,2021,"MM.p.uw","Africa"
20,0.34710725972618,0.0275380840830659,0.293619113144765,0.400657096138726,1.00074444641389,4500,2022,"MM.p.uw","Africa"
21,0.389419907266498,0.0273967224561102,0.334943886880081,0.44258132909936,1.00311221868612,820,2023,"MM.p.uw","Africa"
22,0.365422804965572,0.0273195135122732,0.312755205274109,0.419050848138815,1.0020522929253,1400,2024,"MM.p.uw","Africa"
1,0.442670226861576,0.0341835580902695,0.374006323014923,0.509448173253465,1.00163857103541,2100,2003,"MM.p.w","Africa"
2,0.464961519534077,0.0314000043612084,0.401653548670387,0.525475707930532,1.0009416963775,4500,2004,"MM.p.w","Africa"
3,0.423714981375653,0.0345171671776578,0.35625154128628,0.491609662708504,1.00111128325708,4500,2005,"MM.p.w","Africa"
4,0.457792542041254,0.0378506512999124,0.385106206216129,0.532606496467337,1.00165014669686,2000,2006,"MM.p.w","Africa"
5,0.466427255694282,0.0360089708123935,0.399411881844663,0.53798610168123,1.00105568119447,4500,2007,"MM.p.w","Africa"
6,0.555838222192787,0.0312817675066916,0.493441399111104,0.616062809460522,1.00116656321902,4100,2008,"MM.p.w","Africa"
7,0.540812002452555,0.0295575313902729,0.48315276687384,0.600119075500456,1.00303012549169,850,2009,"MM.p.w","Africa"
8,0.533042532130519,0.0296019193806711,0.475584953963404,0.590535647470242,1.0024386568471,1100,2010,"MM.p.w","Africa"
9,0.690264619027874,0.0240138456457727,0.64134251570853,0.735833739795706,1.00075153208197,4500,2011,"MM.p.w","Africa"
10,0.659649142090013,0.0238396885064353,0.611793665171377,0.705576019997624,1.00311427996907,820,2012,"MM.p.w","Africa"
11,0.612643422680912,0.0255629376653569,0.56252803873874,0.6619639688977,1.00275678263376,960,2013,"MM.p.w","Africa"
12,0.64991379265675,0.0252360001050573,0.599145482445076,0.698118300212473,1.00148947920805,2400,2014,"MM.p.w","Africa"
13,0.642458659371726,0.0251941990987197,0.591807673168456,0.690734685422202,1.00391030158048,620,2015,"MM.p.w","Africa"
14,0.626437296548981,0.026636154992386,0.572726814331961,0.675918313563174,1.00491169994298,470,2016,"MM.p.w","Africa"
15,0.574786979396311,0.0273751713144169,0.519196199836304,0.62689356809272,1.00115193873444,4100,2017,"MM.p.w","Africa"
16,0.541138898179128,0.0241772449112915,0.494009662126142,0.58922518927726,1.00306041208925,840,2018,"MM.p.w","Africa"
17,0.428154423913871,0.0265179798525291,0.377009207896591,0.479613611596671,1.00200430072802,1500,2019,"MM.p.w","Africa"
18,0.360609156973068,0.0285532750186284,0.306631125315924,0.41760227140448,1.00169994658469,1900,2020,"MM.p.w","Africa"
19,0.40133564177513,0.0302739610146677,0.340726184970481,0.458797772736417,1.00096665226558,4500,2021,"MM.p.w","Africa"
20,0.34710725972618,0.0275380840830659,0.293619113144765,0.400657096138726,1.00074444641389,4500,2022,"MM.p.w","Africa"
21,0.389419907266498,0.0273967224561102,0.334943886880081,0.44258132909936,1.00311221868612,820,2023,"MM.p.w","Africa"
22,0.365422804965572,0.0273195135122732,0.312755205274109,0.419050848138815,1.0020522929253,1400,2024,"MM.p.w","Africa"
1,0.378627968337731,NA,NA,NA,NA,NA,2003,"Observed","Africa"
2,0.490438695163105,NA,NA,NA,NA,NA,2004,"Observed","Africa"
3,0.370619946091644,NA,NA,NA,NA,NA,2005,"Observed","Africa"
4,0.343878954607978,NA,NA,NA,NA,NA,2006,"Observed","Africa"
5,0.49375,NA,NA,NA,NA,NA,2007,"Observed","Africa"
6,0.508844953173777,NA,NA,NA,NA,NA,2008,"Observed","Africa"
